#Frame      Mode1    Mode2
     571   -9.233   -2.334
     572   -8.915   -2.977
     573   -8.929   -3.373
     574   -8.951   -4.109
     575   -9.445   -4.517
     576   -8.576   -3.823
     577   -8.937   -3.904
     578   -8.257   -3.442
     579   -8.823   -3.183
     580   -9.116   -3.597
     581   -9.046   -3.017
     582   -8.574   -4.444
     583   -8.174   -3.934
     584   -8.837   -3.270
     585   -8.513   -3.436
     586   -8.455   -4.091
     587   -9.165   -3.767
     588   -9.460   -3.699
     589   -8.578   -2.952
     590   -8.633   -3.068
     591   -9.161   -3.385
     592   -9.300   -2.806
     593   -9.633   -2.840
     594   -9.143   -2.556
     595   -9.048   -2.644
     596   -9.597   -2.254
     597  -10.119   -2.948
     598   -9.068   -2.673
     599   -9.562   -3.306
     600  -10.091   -2.838
     601   -9.470   -3.130
     602   -9.999   -3.843
     603   -9.354   -2.563
     604  -10.086   -3.182
     605   -9.790   -3.684
     606   -9.096   -3.905
     607   -9.122   -3.425
     608   -9.173   -3.749
     609   -9.075   -4.298
     610   -7.870   -4.716
     611   -8.517   -3.621
     612   -8.605   -2.602
     613   -8.762   -2.733
     614   -8.500   -3.525
     615   -9.123   -4.775
     616   -8.530   -4.134
     617   -8.510   -3.974
     618   -8.209   -3.391
     619   -8.491   -3.433
     620   -7.914   -4.119
     621   -8.654   -2.989
     622   -8.693   -3.322
     623   -9.141   -4.138
     624   -8.657   -3.612
     625   -9.380   -4.151
     626   -9.096   -3.051
     627   -8.432   -3.070
     628   -8.502   -1.778
     629   -8.618   -3.413
     630   -8.780   -2.420
     631   -7.706   -3.167
     632   -8.955   -3.199
     633   -7.988   -3.013
     634   -7.804   -3.026
     635   -7.825   -2.651
     636   -8.159   -3.494
     637   -8.003   -2.783
     638   -7.992   -2.925
     639   -7.665   -2.935
     640   -7.932   -2.636
     641   -8.216   -4.087
     642   -8.383   -3.580
     643   -9.003   -3.513
     644   -8.850   -3.339
     645   -8.331   -3.356
     646   -7.936   -3.954
     647   -8.393   -3.174
     648   -8.826   -2.361
     649   -8.883   -3.476
     650   -9.284   -3.693
     651   -8.572   -4.072
     652   -7.714   -3.515
     653   -8.401   -2.736
     654   -8.541   -2.908
     655   -8.068   -2.516
     656   -8.348   -2.294
     657   -8.931   -2.256
     658   -9.126   -3.747
     659   -8.448   -2.794
     660   -8.133   -2.698
     661   -8.568   -2.991
     662   -8.527   -3.055
     663   -8.235   -2.182
     664   -8.952   -2.814
     665   -9.098   -4.215
     666   -9.391   -2.809
     667   -8.107   -3.497
     668   -9.015   -3.242
     669   -8.246   -2.182
     670   -8.529   -3.137
     671   -8.980   -2.674
     672   -9.250   -2.164
     673   -9.471   -3.068
     674   -8.718   -2.247
     675   -8.850   -1.886
     676   -9.358   -2.261
     677   -8.613   -1.778
     678   -9.136   -1.424
     679   -9.511   -1.695
     680   -9.207   -1.453
     681   -8.835   -2.159
     682   -9.083   -2.906
     683   -9.431   -3.053
     684   -9.317   -3.433
     685  -10.655   -3.152
     686   -9.277   -4.118
     687   -9.229   -4.267
     688   -8.878   -4.172
     689   -8.763   -4.635
     690   -8.250   -3.755
     691   -8.893   -4.056
     692   -8.641   -4.129
     693  -10.116   -3.331
     694  -10.067   -5.120
     695   -9.202   -4.826
     696   -8.620   -4.098
     697   -9.866   -5.456
     698   -9.661   -4.555
     699   -9.009   -3.895
     700   -9.469   -4.235
     701  -10.261   -2.811
     702   -9.638   -3.428
     703   -9.324   -4.845
     704  -10.241   -5.168
     705   -9.120   -3.219
     706   -8.881   -3.513
     707   -7.819   -3.378
     708   -8.493   -3.054
     709   -9.443   -2.960
     710   -9.014   -3.726
     711   -9.052   -3.694
     712   -8.848   -3.205
     713   -9.320   -2.264
     714   -9.393   -2.518
     715   -9.516   -3.544
     716   -9.944   -3.965
     717   -9.330   -2.097
     718   -9.927   -3.527
     719   -9.026   -2.251
     720   -8.625   -2.604
     721   -9.172   -3.494
     722   -9.024   -3.295
     723   -8.955   -2.917
     724   -9.330   -3.490
     725   -9.255   -3.662
     726   -9.416   -3.779
     727   -9.355   -3.587
     728  -10.163   -3.158
     729  -10.088   -3.113
     730   -9.266   -2.358
     731   -9.499   -2.070
     732   -9.100   -1.891
     733   -9.243   -2.908
     734   -8.943   -3.756
     735   -8.949   -2.873
     736   -9.481   -3.112
     737   -8.706   -3.400
     738   -8.871   -2.525
     739   -9.075   -2.472
     740   -8.895   -1.961
     741   -9.232   -2.342
     742   -8.716   -2.774
     743   -8.611   -1.513
     744   -8.907   -2.109
