#Frame	ca
2860	5
2861	6
2862	6
2863	6
2864	7
2865	6
2866	6
2867	8
2868	7
2869	6
2870	5
2871	6
2872	6
2873	6
2874	6
2875	6
2876	6
2877	5
2878	6
2879	6
2880	6
2881	5
2882	8
2883	5
2884	7
2885	6
2886	6
2887	7
2888	7
2889	7
2890	6
2891	6
2892	7
2893	6
2894	6
2895	6
2896	5
2897	8
2898	7
2899	5
2900	6
2901	5
2902	6
2903	6
2904	7
2905	6
2906	6
2907	6
2908	7
2909	6
2910	5
2911	5
2912	7
2913	7
2914	5
2915	5
2916	6
2917	5
2918	5
2919	4
2920	6
2921	5
2922	7
2923	5
2924	5
2925	6
2926	6
2927	7
2928	7
2929	7
2930	6
2931	5
2932	5
2933	7
2934	5
2935	6
2936	4
2937	5
2938	6
2939	4
2940	5
2941	7
2942	6
2943	6
2944	5
2945	6
2946	6
2947	6
2948	6
2949	6
2950	6
2951	6
2952	6
2953	7
2954	5
2955	6
2956	5
2957	6
2958	8
2959	6
2960	5
2961	7
2962	7
2963	5
2964	7
2965	7
2966	5
2967	6
2968	6
2969	6
2970	6
2971	6
2972	6
2973	6
2974	5
2975	5
2976	5
2977	4
2978	6
2979	5
2980	6
2981	5
2982	5
2983	6
2984	6
2985	6
2986	5
2987	6
2988	5
2989	6
2990	7
2991	5
